	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
0	2	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0
haza	3	1	1	0	3	3	1	1	1	0	0	0				0	1	1	1				0	0	0	0	
le	2	1	1	0	1	1	1	0	1	0	0	0	0	0		0	0	0	3		0		0	0	0	0	0
be	3	2	0	0	1	1	0	3	0	0	0	0	0	0		0	0	1	1		0		0	0	0	0	0
el	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0		2	0	0	0	0
meg	3	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	1	0		0		0	0	0	0	0
át	3	2	1	0	1	2	1	1	0	0	0	0	0	0		0	1	1	0				0	0	0	2	0
tovább	3	1	1		3	2	0	0	1								1	1						0	0		
ki	3	1	0	0	1	1	1	1	0	3	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0
neki	1	0	1		2	3	3		1								1	1						1	0		
össze	3	2	1	0	1	1	1	1	0	0	1	0				0	0	1	1				0	0	3	0	
fel	3	2	0	0	1	1	1	0	0	0	0	0	0	0		0	0	1	0		0		0	0	0	0	0
rá	2	1	3	0	2	2	1	1	1	0	1	0				0	1	3	1				0	0	1	0	
bele	2	2	0	0	1	2	1	3	1	1	1						1	1	1				0	0	1		
hozzá	3	1	1	0	0	3	1	1	1	0	3						1	1	1				1	1	0		
észre	3	2	3		2	0	1	1	1								1	1						0	1		
oda	1	1	1	0	2	2	0	0	1	0	3						1	1	1				0	0	1		
körül	3	2	1		1	0	1		1								1	1						1	0		
vissza	2	1	1	0	2	1	1	2	1	0	2	0	0	0		0	1	2	0				0	0	0	0	0
körbe	1	2			2	3			0																		
hátra	2	2	0		0	2			1								1	0									
végig	3	2	1		2	1	1	1	1								3	1						0	0		
abba	2	2			2	3			1																		
viszont																											
elő	3	2	2	0	1	2	1	1	0	1	0	0				1	1	0	0				1	1	0	0	
véghez					3																						
végre	3	2	1		1	3			1								0	1							0		
szét	2	2	1		1	0	1	1	0								0	0						0	1		
egybe					2	1																					
felül	1	1			0	3			0																		
túl	1	1	1		0	3			1								3	1						0	0		
létre	3	2	1	0	2	2	1	1	0	0	0						1	0	0				1	0	1		
utol					3																						
ott					2	2																					
alább																											
ide	3	1	1		1	2			1								1	1							1		
szembe	2				1	3																					
félbe																											
alá	3	2	1		1	3	0	1	0								2	1						0	1		
ketté																											
jól					1	3																					
előre					0	1																					
félre	2	2			1	2			1																		
Végig																											
végbe					3	3																					
helyre					0	2																					
meg-meg																											
tova																											
újra	2	2			1	3			0																		
keresztül					1	2																					
fenn	3	2	0		2	2	0	1	0								0	1						1	1		
tele					3																						
helyt					3	3																					
utána					1	2																					
fel-fel																											
ellen					1	3																					
közre					2	0																					
közbe					3	3																					
kölcsön					3																						
útba																											
béke																											
külön																											
mellé					3																						
rá-rá																											
cserben																											
egyet					2	3																					
rajta																											
tönkre					3	1																					
rosszul																											
Oda																											
el-el																											
agyon					3	0																					
jóvá	2	2	0		3	3			1								2	0									
ellent					1																						
közzé	3	2	1		2	1	1	1	3								3	1						1	1		
együtt					0	3																					
rendre																											
újjá																											
nyilván					3	2																					
szemben																											
vissza-vissza																											
helyben																											
alul																											
át-át																											
szerte																											
kinn																											
odébb																											
le-le																											
odább																											
partra																											
kétségbe																											
fent																											
oda-oda																											
