	n	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
total	165686	17449	16900	13218	2832	79219	52127	8530	5711	16876	3403	3607	1503	838	958	192	1705	14232	13161	3792	9	551	11	2451	9147	12572	1327	935
0	116144	2845	15587	9555	2167	59470	33208	7041	3665	12682	1808	2561	1169	575	665	142	1314	10575	9840	2785	4	343	7	1438	6353	9076	1242	684
haza	745	214	12	19	10	101	37	3	7	12	21	5	1	17	0	0	0	16	37	3	0	2	0	3	39	42	0	3
le	2677	605	102	95	40	895	971	29	67	158	47	44	27	15	6	4	23	163	223	307	0	13	0	16	188	143	2	8
be	4001	1307	42	272	46	1601	1501	131	805	327	29	83	23	15	35	2	28	415	204	152	0	8	1	28	223	224	0	13
el	9961	2646	648	672	139	3956	3428	311	346	728	123	214	102	70	37	12	57	674	477	136	0	28	1	513	491	741	0	62
meg	13468	3781	312	1087	156	5869	6042	499	66	1372	127	89	70	46	98	10	152	935	382	193	0	48	0	333	719	1097	1	86
át	1307	449	11	38	19	497	617	100	90	101	30	39	9	4	8	2	10	173	204	16	1	14	0	24	78	71	61	6
tovább	193	67	3	5	4	30	29	7	5	12	1	0	3	0	0	0	1	9	3	2	0	0	0	0	9	11	0	0
ki	5501	2008	88	526	73	2102	2215	118	90	420	1004	57	30	25	37	8	40	365	465	89	2	13	1	24	314	282	8	15
neki	106	21	12	2	2	26	3	68	1	3	1	3	1	2	1	0	0	1	1	0	0	1	1	2	10	11	0	0
össze	798	243	2	29	7	333	346	4	10	62	18	1	0	0	4	0	2	55	32	4	0	2	0	5	49	180	2	2
fel	4070	1200	28	292	61	1542	1685	77	117	395	81	60	31	49	29	9	33	281	605	42	1	18	0	23	245	218	2	26
rá	666	145	8	169	13	211	98	4	0	42	10	0	2	1	0	0	1	14	289	0	0	20	0	6	34	21	0	1
bele	468	107	0	28	8	178	57	1	295	15	1	1	5	1	0	0	3	9	9	0	0	6	0	1	31	16	0	2
hozzá	445	125	7	49	3	224	26	1	0	22	3	250	1	0	3	0	0	24	3	2	0	0	0	0	36	26	0	2
észre	209	110	0	108	4	53	70	1	0	13	2	0	0	0	0	0	0	7	0	0	0	1	0	0	10	3	0	0
oda	449	70	9	14	7	107	46	27	7	8	3	84	0	2	1	0	2	8	63	0	0	1	0	2	23	12	0	4
körül	120	32	0	1	4	41	36	0	1	21	0	0	0	0	0	0	0	6	2	1	0	1	0	0	11	6	0	0
vissza	1086	258	16	37	22	348	274	19	127	63	22	88	8	5	5	1	3	57	208	12	1	8	0	19	79	74	2	12
körbe	53	8	0	4	1	13	31	0	0	5	0	0	0	0	0	0	1	6	0	0	0	1	0	0	2	2	0	0
hátra	65	17	0	4	2	28	9	0	1	1	2	2	1	0	0	0	0	3	3	0	0	0	0	1	7	1	0	0
végig	192	52	0	6	4	62	78	0	0	10	3	0	2	0	1	0	1	78	3	2	0	1	0	0	8	16	0	0
abba	51	12	0	2	1	14	31	1	1	2	0	0	0	0	0	0	0	1	3	0	0	1	0	0	1	0	0	1
viszont	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elő	660	281	2	123	7	355	353	14	2	84	37	6	3	5	10	1	15	30	36	8	0	12	0	1	57	55	2	0
véghez	12	2	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
végre	78	39	0	2	3	31	60	1	0	12	1	0	1	0	0	0	2	9	0	0	0	0	0	0	3	7	0	0
szét	155	37	1	3	3	62	47	2	1	17	2	1	0	0	1	0	0	14	8	1	0	0	0	2	11	4	5	0
egybe	25	6	0	0	0	18	5	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	9	0	0
felül	55	11	1	1	1	25	41	0	0	7	0	0	0	0	0	0	0	3	1	0	0	0	0	0	3	8	0	0
túl	96	15	1	0	1	42	56	0	0	5	0	0	0	0	0	0	1	31	2	0	0	1	0	0	7	7	0	0
létre	364	212	3	9	8	233	166	3	0	42	8	7	1	3	12	0	4	45	26	8	0	0	0	0	21	56	0	0
utol	13	5	0	0	0	2	8	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ott	40	5	1	1	1	9	22	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	0	2
alább	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ide	83	25	1	0	2	27	11	1	4	4	3	1	0	0	0	0	0	2	2	0	0	1	0	0	2	0	0	0
