	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
0	True	True	True	True	True	True	True	True	True	True	False	True	False	False	False	True	True	True	True	-1	True	-1	True	False	True	True	False
haza	True	True	True	False	True	True	True	True	True	False	True	False	-1	-1	-1	True	True	True	True	-1	-1	-1	False	False	False	False	-1
le	True	True	True	False	True	True	True	True	True	False	False	False	False	False	-1	False	True	False	True	-1	False	-1	True	True	True	True	False
be	True	True	True	True	True	True	True	True	True	True	False	False	False	False	-1	False	True	True	True	-1	False	-1	True	False	True	True	False
el	True	True	True	False	True	True	True	False	True	True	False	False	True	True	False	True	True	True	True	-1	False	-1	True	True	False	True	False
meg	True	True	False	True	True	True	True	True	False	True	True	True	True	False	False	False	True	True	True	-1	False	-1	True	False	False	True	False
át	True	True	True	False	True	True	True	True	True	False	False	False	False	False	-1	False	True	True	False	-1	-1	-1	False	False	True	True	False
tovább	True	True	True	-1	True	True	False	False	False	-1	-1	-1	-1	-1	-1	-1	False	True	-1	-1	-1	-1	-1	False	False	-1	-1
ki	True	True	True	False	True	True	True	True	True	True	True	True	False	False	False	False	True	False	True	-1	False	-1	True	False	True	True	True
neki	True	False	False	-1	True	True	True	-1	False	-1	-1	-1	-1	-1	-1	-1	True	False	-1	-1	-1	-1	-1	False	False	-1	-1
össze	True	True	True	False	True	True	True	True	False	False	True	False	-1	-1	-1	False	False	True	True	-1	-1	-1	False	False	True	False	-1
fel	True	True	False	False	True	True	True	False	False	False	True	False	True	False	-1	False	True	True	True	-1	False	-1	True	False	True	True	False
rá	True	True	True	False	True	True	True	True	True	False	True	False	-1	-1	-1	False	True	True	True	-1	-1	-1	False	False	True	False	-1
bele	True	True	False	False	True	True	True	True	True	True	True	-1	-1	-1	-1	-1	True	True	True	-1	-1	-1	False	False	True	-1	-1
hozzá	True	True	False	False	False	True	True	True	True	False	True	-1	-1	-1	-1	-1	False	True	False	-1	-1	-1	False	False	False	-1	-1
észre	True	True	True	-1	True	False	True	False	False	-1	-1	-1	-1	-1	-1	-1	True	True	-1	-1	-1	-1	-1	False	True	-1	-1
oda	True	True	True	False	True	True	False	False	True	False	True	-1	-1	-1	-1	-1	True	True	True	-1	-1	-1	False	False	True	-1	-1
körül	True	True	True	-1	True	False	False	-1	False	-1	-1	-1	-1	-1	-1	-1	False	False	-1	-1	-1	-1	-1	False	False	-1	-1
