	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
0	26923.141135144273	4396.765831262236	32.72161073181388	56.336801757138545	1789.505098865079	1482.5027975269768	663.8849496167857	98.75529452882591	228.2828144158217	476.48581713134774	1.3875165149797295	42.30061324747659	0.8141946783367862	0.18316723498839055	1.1879086917060435	39.57714681066455	131.1554640099604	148.35259180834228	20.55637538119079	-1	15.873091200834793	-1	154.48155215145798	1.8855980002729522	28.332993326602782	351.19454755863273	4.04489154233984
haza	260.96287439419706	59.33844314694769	29.289869186941008	0.4005292518802176	350.5638983014609	242.3938247049955	33.54418357468837	13.389396177205128	59.2114476638623	1.8113529034186835	7.27420578285198	4.14720463512502	-1	-1	-1	6.799295644696562	38.73429385877544	8.665147115177437	11.071037023086419	-1	-1	-1	5.232942132840229	0.06860620199074433	3.7847320566674463	5.07194209560863	-1
le	419.3074624168446	120.57987667951332	72.09231261383	0.6245274649854714	224.9003881229318	28.975739387699583	91.22904317948236	7.001498302745088	54.09717878011694	1.0567112078325858	3.384786732584212	0.20740586107511658	0.06959101274360349	5.3243837687001685	-1	0.6108265908668841	21.350434357383513	0.5044773875438207	1021.066649005648	-1	1.482509890551582	-1	13.90277448923775	11.47953775252632	19.251261590673177	17.14402209882436	2.953574026715354
be	2129.687861666905	373.7568120204545	7.6052174716902465	7.303233193837712	99.59102143147798	69.40735528059645	29.097497492621578	3419.580429552056	17.928687867212524	35.32716525964518	0.15605227662469365	4.664270596064997	1.1416491813342564	5.755878770880619	-1	4.038546469009483	16.362081023838535	44.97265614700437	41.13534964587816	-1	1.7845263534898224	-1	16.548946662645765	0.01284626840840595	22.8475866784253	32.07763698486267	3.7618720126333542
el	2889.288028612173	157.51359664506165	21.713485889746266	6.015229464524669	278.1777049216922	42.71069166221003	88.65355143988103	0.014920565338285018	95.5590841683293	34.91153198453215	0.027743923351922346	1.474623796406141	7.759406758057838	7.502861694699472	0.00017055597586943062	21.241425244475447	44.62748996829044	143.77879272463383	39.96622208083439	-1	0.6896246772202063	-1	977.1784127705371	6.987924484707163	0.3126022848521595	84.49810902610875	0.532286877375159
meg	4785.979048278767	993.7230388524537	0.16005998885254008	26.131494705467396	105.20443988168307	1220.159316049891	62.20691847549933	384.14217679509267	7.297525188828367e-05	89.33241127687327	157.46932447138377	24.006752119907993	7.505645006270626	5.416213609567365	1.8210883226944177	1.3219432805006959	50.43886102892011	522.1103007930767	47.57741119663139	-1	0.17924140144358747	-1	98.48701356610133	0.8944138246841289	6.408894609362069	115.08983085099672	1.2991246231272855
át	790.9047466878112	124.9345995217138	45.43960401660171	0.3702356462759672	50.174036827614486	150.7410484863569	16.386490434103386	45.78258376295051	8.4312540694189	0.2703745766447941	3.655030057515794	0.4763270459200123	0.6826141609253115	0.00043742645183499475	-1	0.6588514848617425	35.63234747711321	104.79162439741586	6.204116626557675	-1	-1	-1	0.9181463266067272	0.42235253016659957	8.422358362157746	242.97863913027072	0.10538413527583913
tovább	117.38079331632548	14.837220526049547	6.921284771644388	-1	79.34443010067584	23.44831250895282	0.6304752351605413	0.2070255380096028	2.9054372056317117	-1	-1	-1	-1	-1	-1	-1	3.3099371063936065	9.92904125584461	-1	-1	-1	-1	-1	0.1326547273440343	0.7315040206246407	-1	-1
ki	4070.298999227399	458.4985805531316	19.22786913700577	4.715428644183156	209.82278344049877	204.11010280802168	104.45785159036284	55.499677997639864	40.17395045578817	7412.1161245957555	34.22169670082932	7.873786452016995	0.20158876239905327	0.7204115523709376	0.205720509877638	4.790448461458062	27.42780392687455	1.9498243499102657	11.140040640812266	-1	1.30373637546132	-1	41.7352933587308	0.3467223596226998	48.803007879200976	29.92327225477646	8.09541249608507
neki	8.73389832263157	0.04878082986871006	4.562131043487024	-1	22.122296286145094	39.00487630443878	744.1262344393681	-1	5.49402596897829	-1	-1	-1	-1	-1	-1	-1	6.953603215792696	6.1818476231054005	-1	-1	-1	-1	-1	2.408629739288956	0.8126305090815755	-1	-1
össze	335.5644684518382	85.57130997860797	20.0178355892742	2.825482339648542	11.64910996024367	52.081204105025606	34.51064118651436	10.94236985736972	4.854898350451212	0.07712129378630067	14.896534579740413	6.361563020325231	-1	-1	-1	4.033689607563785	2.7294992820419135	16.428984180595453	10.666646437456592	-1	-1	-1	3.4344571889994104	0.47697636736105276	254.07836227437642	2.399863627274216	-1
