	PV	INF	HKM	Vva	nom	acc	dat	BA	BAN	BÓL	HOZ	IG	KOR	KÉNT	NKÉNT	NÁL	ON	RA	RÓL	STUL	SZOR	TT	TÓL	UL	VAL	VÁ	ÉRT
total	0.10531366560844006	0.10200016899436283	0.07977741028209988	0.01709257269775358	0.47812730103931533	0.314613183974506	0.05148292553384112	0.03446881450454474	0.10185531668336492	0.020538850596912232	0.021770095240394482	0.00907137597624422	0.005057759859010418	0.005782021413999976	0.0011588184879832938	0.010290549593809978	0.08589742042176164	0.07943338604347984	0.02288666513767005	5.431961662421689e-05	0.003325567639993723	6.639064254070953e-05	0.014793042260661733	0.0552068370290791	0.07587846891107275	0.008009125695592869	0.00564320461596031
0	0.024495453919272627	0.13420409147265464	0.08226856316297011	0.01865787298525968	0.5120367819258851	0.2859209257473481	0.06062301969968315	0.031555655048904806	0.10919203747072599	0.015566882490701199	0.022050213528034164	0.010065091610414658	0.004950750792120127	0.005725650916104146	0.0012226201956192313	0.011313541810166689	0.09105076456812233	0.08472241355558617	0.023978853836616614	3.444000551040088e-05	0.0029532304725168757	6.0270009643201545e-05	0.012381181980989116	0.0546993387518942	0.07814437250309961	0.010693621710979474	0.005889240942278551
haza	0.287248322147651	0.016107382550335572	0.025503355704697986	0.013422818791946308	0.13557046979865772	0.049664429530201344	0.004026845637583893	0.009395973154362415	0.016107382550335572	0.028187919463087248	0.006711409395973154	0.0013422818791946308	0.022818791946308724	0.0	0.0	0.0	0.021476510067114093	0.049664429530201344	0.004026845637583893	0.0	0.0026845637583892616	0.0	0.004026845637583893	0.052348993288590606	0.056375838926174496	0.0	0.004026845637583893
le	0.22599925289503175	0.03810235338064998	0.03548748599178184	0.014942099364960777	0.3343294732909974	0.36271946208442285	0.010833022039596563	0.0250280164363093	0.059021292491595066	0.017556966753828913	0.016436309301456856	0.010085917071348524	0.0056032872618602915	0.0022413149047441168	0.0014942099364960778	0.008591707134852447	0.06088905491221517	0.08330220395965633	0.11468061262607396	0.0	0.004856182293612252	0.0	0.005976839745984311	0.07022786701531565	0.05341800522973478	0.0007471049682480389	0.0029884198729921555
be	0.32666833291677083	0.010497375656085979	0.06798300424893776	0.011497125718570358	0.4001499625093727	0.3751562109472632	0.03274181454636341	0.20119970007498125	0.08172956760809798	0.007248187953011747	0.02074481379655086	0.005748562859285179	0.003749062734316421	0.008747813046738315	0.0004998750312421895	0.0069982504373906525	0.10372406898275431	0.05098725318670332	0.0379905023744064	0.0	0.001999500124968758	0.00024993751562109475	0.0069982504373906525	0.05573606598350413	0.05598600349912522	0.0	0.0032491877030742314
el	0.2656359803232607	0.06505370946692099	0.06746310611384398	0.013954422246762374	0.39714888063447445	0.34414215440216844	0.03122176488304387	0.03473546832647324	0.07308503162333099	0.012348157815480373	0.021483786768396747	0.010239935749422748	0.007027406886858749	0.0037144864973396247	0.0012046983234615	0.005722317036442125	0.06766388916775425	0.04788675835759462	0.013653247665896998	0.0	0.0028109627547434997	0.00010039152695512498	0.051500853327979115	0.04929223973496637	0.07439012147374761	0.0	0.006224274671217749
meg	0.28073953073953073	0.023166023166023165	0.0807098307098307	0.011583011583011582	0.43577368577368575	0.44861894861894863	0.03705078705078705	0.004900504900504901	0.10187110187110188	0.00942975942975943	0.006608256608256608	0.005197505197505198	0.0034155034155034154	0.007276507276507277	0.0007425007425007425	0.011286011286011286	0.06942381942381942	0.028363528363528363	0.01433026433026433	0.0	0.003564003564003564	0.0	0.024725274725274724	0.053385803385803385	0.08145233145233145	7.425007425007424e-05	0.0063855063855063855
át	0.3435348125478194	0.008416220351951033	0.029074215761285386	0.014537107880642693	0.3802601377199694	0.4720734506503443	0.07651109410864575	0.06885998469778118	0.0772762050497322	0.022953328232593728	0.029839326702371844	0.006885998469778117	0.00306044376434583	0.00612088752869166	0.001530221882172915	0.0076511094108645756	0.13236419280795717	0.15608263198163733	0.01224177505738332	0.0007651109410864575	0.010711553175210406	0.0	0.018362662586074982	0.05967865340474369	0.05432287681713849	0.046671767406273906	0.0045906656465187455
tovább	0.3471502590673575	0.015544041450777202	0.025906735751295335	0.02072538860103627	0.15544041450777202	0.15025906735751296	0.03626943005181347	0.025906735751295335	0.06217616580310881	0.0051813471502590676	0.0	0.015544041450777202	0.0	0.0	0.0	0.0051813471502590676	0.046632124352331605	0.015544041450777202	0.010362694300518135	0.0	0.0	0.0	0.0	0.046632124352331605	0.05699481865284974	0.0	0.0
ki	0.36502454099254683	0.01599709143792038	0.09561897836756954	0.01327031448827486	0.3821123432103254	0.402654062897655	0.021450645337211416	0.016360661697873115	0.07634975459007454	0.18251227049627342	0.010361752408652973	0.005453553899291038	0.004544628249409198	0.006726049809125613	0.0014542810398109434	0.007271405199054717	0.0663515724413743	0.08453008543901108	0.016178876567896745	0.00036357025995273584	0.002363206689692783	0.00018178512997636792	0.004362843119432831	0.05708053081257953	0.05126340665333576	0.0014542810398109434	0.002726776949645519
neki	0.19811320754716982	0.11320754716981132	0.018867924528301886	0.018867924528301886	0.24528301886792453	0.02830188679245283	0.6415094339622641	0.009433962264150943	0.02830188679245283	0.009433962264150943	0.02830188679245283	0.009433962264150943	0.018867924528301886	0.009433962264150943	0.0	0.0	0.009433962264150943	0.009433962264150943	0.0	0.0	0.009433962264150943	0.009433962264150943	0.018867924528301886	0.09433962264150944	0.10377358490566038	0.0	0.0
